183
10 652
assvglzbcwrppwguhvemlz iincxkbzcvvlgwmjtf begkckxnlecwo lzbnewipdedoziokj uxftmqxomnfmagpnkoxbr hdovpasiwpnpdfmtubagbhy mmxfqdmusj ctotgdzmrsg ovcmkv sfrwrnqdzifsya
true vnjpsuxxkpxogyggccu 442879859738 08079979091194116 sglgrkcnupocpbalkwcdjunc 827090 174930613 4045/65/52 ztjmwvmacgdssntkqgegqpmcpwqc true
true qudcqartezww 1303391708980 0972415425759 nvnzmralei 368360557919663158 453 7491/99/37 mjwldbjcsuenbggefshysifswir true
false xcltoouxt 3308119412458264 7 okirvchmygfp 4005391416 9 8868/57/33 irqpf false
true g 6601912528748527310 5217322 sakiafjhygybiaf 396806580853399793 38387118095 9465/38/30 fmosxtrbzargpotguiyivvfnrmu true
true qyr 067 94925016 tiedfziss 1633458675566 597 6236/53/30 mkohednvzjillpomdjmaotasa true
true utlgfanlfageloqwdejipxidrlxr 2703062061643 6500453627960 xpyoykzvg 9617150720797150068 651 8302/91/37 ncm false
true twqttyaacmbgyhjzodbgy 7159171993934 366709961 nfkplkpptgkejvrcecoggzilpaqk 3906976101499 664191155406 9492/92/39 vo true
false grvhgafkj 1047663 22017308687377686 s 03225892420670 430429158 0368/33/33 jzkriahdkeckqkviqlxjshvhmjmje false
true rvhcvrffvjrnv 59854549400716590048 6979623314024 apgtuuxnwiyhicnsjptubrrcckul 483621 98176 5839/11/83 vamoeryycp false
false qjwqagdndqhi 0765859331843630266 0733 y 930769318113443 8 9481/06/51 iaoj false
true eeqrlkfwtgb 1532134401553332 85123823 wamzeavnewpyqlrrwvswhvcmc 43377741789270206574 099640255318887 6403/40/72 zgcuywjmlqwks false
true oqfeesinbvzdszfs 92863013016483289 73 mkzlnrnulteaxozp 13197122033998193475 54054132435764776992 2012/30/88 pbxrsawjwc false
true dzry 55879802232225194 40728751620306 glabialzabp 63709893688042 9 2823/42/20 hjyiyrybqauyvxpdple true
true gwrbwnvgnerlopcotvpnvklk 09069385937821666 270681928273094053 rqsw 3009888260 612824774716 4520/76/07 nbkvgjyehlmfxxxwsusd true
true kruqnipzxslva 3860117 812 uoz 22044581269054684485 7951275296616073 0086/98/15 tctnpkn true
false jnh 4517134456426251 93 ahcncob 2606 36 4821/39/55 kxehkwbkffajudwyoc false
true yezzjyki 341377963 4778994758029894708 wnabscqygriqtcuytatnbbf 07877 1710896872163223278 3035/67/53 wmtuzusppuvlcupdlxzbaxnryapz true
false dyzxz 10479149 54924 plh 706262163952279060 75146 4883/77/34 vmhslrni false
false df 1391 05763702556 wsuofncqqgpvl 3214531404128 7433016508182001255 5109/26/18 pkwigtxukbnrjznzxhc false
false flcabrvxdmhzuntsjftxyfyoevv 703353738385729476 553 eqi 91361 1414165640481067 2337/57/07 fsil true
false txwtnxjdc 051633981673 04381541037989 ahikwycz 918581 05318051311 4101/15/01 yvbtiwyjltnjnpcp true
false itqramiipi 465385863170 41345539250873867 oyhkaqccjhxsviroiopjwja 8 58732919776595403087 0056/55/57 dklqniofduecqkdxucz false
false xfdlilimroyegmnursoxveh 2687491 004877 gpplvdapwsevnkfoojqrpfovbrl 880 55 4464/40/20 ieryvaoorwf false
true ydcmaronrmgrc 686871449485617 59380 lmbdaj 1101000144395 5 8716/95/49 jbzodiniqzk false
false dkxcxsatggukxhimgupfi 6752158 595225 wkhegrdoarwugbebtcezztpec 39783304632974 16946084615773407377 8203/83/70 xdvfslrjvghhvzintsawlxk true
true qgamozrlejxwuuecbz 94 94084 abuqkueywxmagjydfefheisug 768308060 523 5951/60/01 aawgkp true
false mqblwqlxwyujjpsikksgfhhh 93381645950 73253768324625170591 s 2 47009194347 2076/44/48 bpnepkzjyf false
true yxsjeyviypyfjijtemxvbdmmcwm 058466188460 6 r 7 4284 1701/28/83 bzeepamesdq false
true suofygpazenhwzdawezci 49 9075705588 qjsrohykhbkdgkfqbknuh 50756436 58510 6347/59/89 axuknqtevxtzpckc false
false blkgggtfnmkimic 525 0093 xdk 54102334 0609645962137 1684/89/68 hymouxbwfvoaapinurzvslnkrxmvly false
true qhsnips 54421186164871 270606 omohby 4 78101587 8426/15/36 uca false
true hxyk 0467507676 52836 qmhmoifxzowxytvftagbgcqg 72808370318 654491168402254884 1771/85/57 yumtxenntgecyceogll true
true ujqdbeqcyowkhvowlkepmcusra 617194671817063899 4632 rftlwuqajf 53346153 39 2387/76/29 pmjakf false
false w 719181934228505 6724865292172 xsqtlyqqmg 614967761349098228 199346601010844923 7860/56/36 jcywbkd false
false mjhsmvfodca 113469 46442778 xha 2746276426157415401 556 4456/08/18 kqupcmzqgmziexpqltkew true
false exdewpwihqxley 68185887 162992291593896673 futrgw 74071135020 310271 1570/82/30 urngqlezxdceemcffqlppmikrgao true
true gcrouetudwyiclkh 274 585950925645 dpsyjv 4 714838790307 4573/94/96 trbnpmijuo false
true rdyuykhmcxxxgtokfzfwasnnc 72976421487051965 936 abqbtdoxczqlaqlgphnbliqpydzmg 01272362809874 6222999104233226 2581/73/89 gmyao true
false kowzmcjakvocpycshcfgesykexktsp 878292968 6 dglvnnawtuwdzvquqhm 64089049020683344 2142636014950823633 2234/21/27 afxikxntxpvsfdcr true
false hbjpprjoezhva 44961434013755 595 duwudkyetwgiorkgqev 2309053650642045 0426409 3874/11/13 rtufismbxwpxchm false
true jloalrzzauubwlw 671204256068932478 41557099267 je 749027 8714151075332 1532/91/91 ogwcloobkhkulmbquhfbofirk false
false cvmqbispwj 48869 43212437805584382 hsbwommxcp 957208663543 1 2742/93/92 mwfytkpvtvaw true
true nsqlmwdozjunbjv 155 5736384135548726018 iumjdhhzzlvmaiwjrgqmmatmdpwbow 84365958809454 29637092421661812 4680/53/85 kbtofhjsmqstvfeonsyufgshyof true
true xtyqhfyqzmisg 96 0880105029774219870 zsdmdvsiueciiurtuunsnn 613 92824250 3606/80/61 lgxfcmarzefknnrxvajvnfbwtnc true
true rozqwbdyvc 659742860 8996942852461 qtfqokuozlehdoofymn 8430214896 73673291 3079/34/31 bukhm true
true ggrlq 032987810811476 13378774 pekducnnznxoxmwcnekqczwe 3 702020158 5834/36/87 bt false
true rlenroyixvwxhnmyzeaz 8 958667 hw 316936600197235 8686391259186131212 7980/91/99 zulp false
false lfubttwrzp 07545 27656 nrjainwjaefcxyaqzq 95832559118829 64 8192/15/40 zahrdyaecthfsoyimeqtnipu true
true ukrclrlexlebnzitsyrcmyufneuhqf 6752849891568 872255433 cmvledzoui 1469476065159504 30916502832 0171/64/12 fsfw true
true njmljik 095270782698222 24782463296732342 e 179341385549 20 3868/25/69 jt true
true xiyrkddhubenwobseuqahdsbon 58915470091959595 439614504337 ohlbonplzgmqrrpuudynux 269812531262551841 49297 4800/91/91 sinnlwyy false
false bonlxnlyjcwyvucmpfrozzdolb 115807330 030158890821940 qxkrlvpkhnbgxoutzsskqopq 19450 37510401118346129289 0769/17/87 scovltmrpngzpzhi true
true xgdvrxkybzgetisrwo 9700411898 77765813362562 rhlhmd 2173475502288 89538784163476689098 6671/17/53 phqswzqhopjsgvhduc false
false sitdvgwa 6 542556 jtxda 13377149 0034866 4110/58/62 tzqxbl false
false xdohs 549035899004068 980011 c 13478022927537459 55916939049 8234/80/28 wmdinknbjwzet false
true xogyfecvnoerckhzwkjlwyofuq 9 56241697068 cfbnmalxlztjnbfdpu 2 4800790499 6895/05/15 uzch false
false pevlllcnhtojjbnetqnaxidqccvmcf 1961519264136026 01440706612047445 bgmlwokyclmuhtcbzuavocnvjj 116824269 293137687577696 2471/15/43 crqgvxzmeunzlw false
true butmymkznudatiekylgxksdg 51974385413879 50886211374716541 iihvecbnywjtearolb 82659365108 6815821265195945657 4051/99/96 igocopuaxncbc true
false zqivkvaqppralzwthkxxzrzzecaipb 673439 1 d 06765025732 25751049914573 5034/15/10 od true
true lyrxfomudep 62937 3106639 scbpyopqougapjhgrxkseocvxbknc 3819851935 6895337 6092/68/53 rknyckhx false
true dsgda 8012994830685543907 8011529504 ayuubrwjyyaovzudodqptboc 5777125900696 9569056965650 3885/55/42 etgcrvrmvg true
true xshtgkhmiugkdvshnplgxp 860 65290575 rwvcqdmtaeanvnutcunkidydnw 4710873601931343 99847349854631002202 6949/07/05 bm true
false bxmfo 884107321 67508581016743336 hjyptyzxbmklyo 51721832629952819 37 0162/90/68 wusnntylmbokcnfehmoktp true
true hgdnaqlulzkgxvualecbjhiy 95060354828577 4386004221596 dxwvlcnspkct 953396179343550 1182691417091733 4966/58/36 lptyhanbizrqyjlpvqnbfq true
false vcenqayivzp 881895832808952572 228374 fbrww 177036574665300027 550496 9851/45/22 nzugggsmjwwvi true
true gyiawgbuwyrr 130820 8958379946181 irxlntmekzxsbrujuc 50342598871 6025485842649189 1396/55/37 meqvlhpkxvyhm false
false ksyu 370565293411440142 9 ohrsobmpxps 99951005111732 852854798997 4929/81/05 mhapoodkkseldycx false
true zhfnuzbqgzutodudukie 166084104291179 6535945 mfnwptvqddyj 3676 094960796853944206 9184/01/06 ybexwketgskzuriyoggdbekqv true
true pzcpahmyt 879401107052300 8727732205153691 syha 3118340609 46381508851475 7752/16/75 sgcwwejcdwhnhqxrkzamidvjellbu false
true e 918839460583 825 mybwfmjgihnznykqogxjbnrev 31705022896975 2471409 0775/36/66 rkllfdfctfms false
true fxvyd 14301699202293 8 qx 0744353777093516108 10006017207303939 4061/37/68 nyjvswvujxnekvwnkirjqeumwtnayo true
true cigzdckbpqn 435383527964988799 459959183910565840 kpzhqq 2554 993 0621/45/28 xyvgjjdvbccrukfrhd true
false wmnpfgatosqmpyxycvzgzqdjwwsbes 406310062 7299637118493 rhwvnpvstjlffhjrxgsccqg 555140 6409 1103/20/15 ihbgpvirlqvyzgdgfpglxbeursmvrm true
true ihkdseqibokjtqoi 7358104469434 1098650468 ahgqseszfydyyvorzllyophwl 60766351437239063255 8022 8454/94/21 uitlxbvsdevdswdbpwjrdpjze true
false lixf 6590695 916 gnvf 40741 738797 4561/46/94 rdgd false
true fwquedwnxxelkez 598258 093593259 ytmdrzaodozjnehsurbkvnu 033482841 041 0174/02/34 rweujz false
true smdpcz 95019112 82518237596 lpu 39572287499831014 420915 1772/67/01 jlnwlisbfmydxpbev true
false dzgormrezutihigvqbwwpwzm 89275587996884969705 325940175 fiikzgtolsudijwuqyogi 2368575092628823 39333436838816044 8025/01/79 arffdndmakejmnrbbixcxluhfg true
true aottubzjgl 0085 5006341016035544 cfnfewlshbicgnpo 13424506 612086161 8008/82/06 bzbunwatkje false
true roweydcorymveqj 9 4037634 tapcujssnrypfpptnumyiplwvuzx 66882775 3849537692418549 9751/85/97 hfgaueqwsbpogzdy false
false vysinsxzvicy 33615659869 48100496691617139 fbzagkkknychvwdqweetcizqh 38542991187 23648933519594382805 7511/63/57 obvhpnhagnbwwihkztoyjv true
false ohczshotevkrfkasnwqxfbxypvjn 12242255663332876 3878989572240 efcwpjxnmcizzjw 99480369164304 99816399 7188/87/52 ewzwrdyojcwicvlmxmi true
true kpojtrg 30 0918739113 rizqxkdk 2741595647878957448 06583717125591842 3372/14/12 gszdglpnic true
true qjbhrzbvhyqeqxulxfssf 44440636 37406352652576951 bjmykekyfadjpwwj 38974 1157301 8342/34/49 nwfwndtwdwyibyqyiuqre true
true tldyvzcjxkhknagtyebzesaomsf 9 62784 npikbpwoschsijsobudnmkfhbq 640359 3259473213773290 7132/22/68 cccvbnydozt true
false xteexqifrxaawwyqvbsxwv 9052923 16 uvmc 79713447193650 40970 2233/86/34 lxgnalkcrazyjtcoccupbwpdn true
false oyeaxknzy 8333477015052024 31 ndds 86668442 764685183607020176 4142/92/85 wpfwxribvyjv true
true wpq 23684206513 555780851 uipbclssbekctkeps 24381079056115 8225151 1378/55/06 qymcxtgerlwfvldtebdpuq false
true tnyvxf 780050227218088005 633886581221 adnpblxmhntpfvbzaeqv 072776997810985 879 9072/36/69 ikvohlxf true
false ammihirlcnw 55 92209 vkoexnjxvsz 82409134 40501923026223196402 8900/33/16 giccllvsj false
false vyaybemgetkqh 32720305130279713 9040688432430058283 thxvbogutgkyeae 1726199 9723557846542 9211/99/11 tkcklwxqqcrwxulwsi false
true encjujmirvdbynmwkfmmwil 9377 99304241 sqywsyjgu 7466249 98377229856058 0986/72/79 ufsevmjhqawxrwjvnoj true
false ldwmjkvi 18667990938 59388277846 uiaedlyvbnrmoy 143114 92869 6282/54/29 lkjmzaznaiuihtpwtuokesqpq false
false rhmctvrsxqhyabghuwfoquaxosoel 6813616 30536506 nogdhafeqzuukezmzqvoesyqin 33300197654664860 3725044224851496699 5963/54/99 xmhvtdixqatyla false
false daqglijlj 86833084943865222444 728 oatbjqlxjgjnlrnvilvcd 69013732952310 63052646 9922/06/05 npinlxfobxngzd false
true xnrhpuocjsqbqpqhzdsx 182065906 208915656289 bxwbdoanzavwkfzqrgwrhkheoak 89742533535 385990779864 8966/06/68 hkxgbtwu false
true kyuykqfdkdfmjjgtzm 48468318837555454241 4743882681267071151 jocuarsemuqkbsttaxnvoqniyih 0087829326906 2565254 6424/10/24 is true
true udwtvcybeurjjc 66421833295950682 397382 qovbqfdbbrmbh 24012192545739 6374094483303379 5398/50/78 xttzkixpplqanwnvhto false
false lf 7754 380837 kouveukch 2484214641306034 29925600296 5429/92/33 jpozqyzihnpnmuyxocfpbvsk true
true tywzkmpjenkn 36252667476 60285335145 taqgmffljryjdkyrzg 8838583108 9731892 1918/33/16 azumnazlqopjcvvzukpcohpd true
true acqnfsjrfmstciinkdkmzxbcl 529387531854328 7041914 lghokuybiyoqvepky 723702844 70506288 0962/18/32 klxtujylb false
true yvnjkfzjmadtcgwubytljqefze 25477320000948 1409079557718003258 qhi 3454 33195293250 1419/51/59 nrbwagwqxwzcbwxtfey true
true oen 590475 2420865 dbycatjftiyxyekdrtw 118 72678360760979 0035/71/71 trsfgufpztzflljhajjpgumunhh false
false dbx 65 77106049 djspbajnwx 1565425 005896068 4576/71/30 qrnnnqttcbznfsdbyp true
false ebqb 736724608307 624182770249782525 dhspxn 3622507225 9493880 9273/72/08 lhednantytacjraorvxu true
true xpuynoiebqiedjtwjnzlysnpmj 28676970877 8733044813182469 rnc 75382679 47292449254666 0274/11/28 hydzecmhixvbkbtvxvpjr false
true bxqyrufaskzwonfwlaxxdtubqjmh 4075 1 oonjynhm 70936039201 0454620849828 1791/50/88 nwsgzccuwlyypgmnikya true
true kiplypxcetwluypqxao 42 38045755 jcqitqmxlkkg 0 7678216808477 9288/80/83 ggeqtmbtkkt true
true lfmdpoeurqgdiiyrdgzhz 94996717726 55971235 zktsnatwbordbypi 19596277181667 863703 9370/00/44 khmj false
true hqdauswtjal 78 81384320827387603 vtspplzpzsifsoijakuqcprdudn 5440356469755747752 929614 9510/38/40 flnttwwdzjrsmqwnawhmmtbvlejxkx false
false rldpkiotaigsevsbeenag 1494029 40828408361359174 ipro 081 066728746157618289 3666/01/84 kofz false
true hlkciolvhcyrklffbt 98352611574511 35 rwztvsfixmjqhkrl 1582258789827691 80112191941838 9861/14/90 thm false
true xgbgzyaqjcycpafc 6299619 40549379035721649896 dqquftuaufqffswqq 659590232238860 4339064015553 7904/05/43 fniwfapplf false
false usjfzigfyzisnjzhuxnjfjqha 8497023151 5 uusmhbnrxkegppyzs 7494630801 592996491 7845/79/57 xfyzyczbmjrbpecrlud true
true jlvwmyboda 53 71 uknxctatgwzjngsybrnbubgvw 235397 080345508232349 4952/05/12 mbwhohnotvlgzoozaokfmt true
true alcrxfdyblm 40105 35869649804120 mmltrlwexifbobq 87 6671553265 2286/19/66 ghinkwqcwqxznytujqfnp false
false iwbkalkjvswhrnkp 12051696 2120687749300279 mmvbrhrk 1817648866634 59 3512/68/48 xenrofuopzihvyrltvveqop true
true o 40442338415 07878629741548868085 uf 5269519589285672 8 7598/17/89 rhjjwfvjkumzomvddigekfj true
false ojsbmlkxui 9039038245 4 ch 3205145 20355346306 6340/99/06 e true
true jftyvmpbqufrfnmlluvcg 87249878840357567804 771013179356716506 nitumbsrbmbujayunzzfhgclt 77663122309156941 39522495 9470/06/98 sgt true
true gjvtuhyr 947 16 wuaowqut 854721 3476457862575467821 5778/48/58 rltpsijg true
false t 859238282779717 17402 en 084369130589761 324629795036802116 4977/20/20 hleokcrfkuybpexvrhtogfmltnzrde false
false abbcugpohsflpaeztshy 5354224235441 098460944309 t 4190942385649 722 6085/17/95 tcwmytmojjyncgyfguxzcuq true
false qokhmdljqjcexnnvapeb 41829068070 975 yuaiyehntdn 32975997 75266653380720337266 6310/59/84 zooysuesiue false
false aktdrnaexhzyysmrtlhhlbdqvlmbry 882719 577977 jaswhbhkhzguljmlygvifzih 36103556551 2044 2657/81/00 ssrczyjppnmecmqnudgmzyopf true
false jgpeyggzgsq 17803851151095497 18686753671 poquyhqyvqfwql 4854153020758483225 9 3632/62/45 qldtinvxbbfywjowxwmayd true
true xbpeewwscqa 3522846920656996 88463 cgeuiuuzhtrvxjfnnpb 6484982566390956689 547336 2667/74/45 fzogmgpbgemoqsziubxtmtjndygbi true
true ua 884191273253 609382495 pxlyl 4445154493728127 2016 6312/25/38 m true
false oteqb 91 048790 fuzsituvwwtizxnptrfusfhmtzechc 6624814554292681 957427492455 2230/47/97 iuehxedqvszubbawrxrlyujc false
false lnjrxdvedzjtwbstfwt 31631148 06 lofjtcpwbzracmthkolzhfcbwrx 13299147219569 798071506573 9003/36/52 qaaqekugnzncycdnbfjikjmkfpyh false
false apbttnpzaonemrhzsplbbunmbcmjoa 05112 865594 snbkcmlggasjeeusgchwqqgppsoetu 38682816 2 8608/81/17 zzihqzagdvdjjnphdksykeo false
true dgkoyjpgqfisllqowbdmkhwe 839382 66863944626706645 angysnjdjqlpazealfnfxhkkoaok 4839413 0492342080387912117 1059/63/25 svcsbvhtdxj false
false mtyfitllqdabrcekyyhaqjxzcazn 504880699 30 pvm 38 9694 5927/03/87 mpwakuzrhdbyypt false
true xncxyrdmfus 849 931610 cpkskstzpjdohurtzonhewgtf 039171003 49302627027988224 7015/07/63 pjodg true
false vggjha 26710077214480040331 653997 ivcnrpeuhbhxoyqai 5018394825713241169 080101989266 2946/00/44 idvywe true
false issu 2312530151 3268642 bee 92510731194347575658 4 8900/37/27 dppsvwemfjbqlmjazww false
false wrapmtlntpcjjzh 29815591 53015459805 qpghrrqtzg 000761866369125007 178106731030030991 8701/59/27 qlaacxyyaonxzdyrhhbghjuqpkq false
false dnndnpalpc 61595143692 38812162 j 58 37467093254 6025/22/12 gzvczdlksjmitecezvvdq true
true qlmksnyyoudnzqzsala 44 5798 etkwgzgyofzcbercuquubwptypk 202400541199881 246804545211365787 4889/51/04 dcoiqboafrflsanrlztjvm true
false gzmirfltvulyklg 3759458907 40594459944876 wbgc 9948499 9683954311405905 7354/07/31 jimahyb true
false eaxmjqakkjuzj 6945251976764 62726 osqpeaayblalxqmpyutnswmmb 4823497849149424674 6027484807657 8817/51/34 ylhcrrfonzkgn false
false qpmumdjoyytn 58007422581 41372 tbmonpz 5769939956370051 05099762 3239/58/65 zcncq false
false asuvmtbxrkuq 641957714310276620 84065918057 rnoyyrxbrigyiqslma 46731960 4987482483 7100/50/48 eelgnylqpsmwupgpjh true
true dtmhvwtnar 661305 454616941223330 mprfetwxcayvdljxsiptaokbwo 5701516650960715805 513235280895 5982/37/98 ytjlmyguxvtgcoraue false
true teiydnxo 2 9199759957977 jxbdoyzvgxywwommcv 1029114833503752 7147429441 6641/06/61 zrckseuffhwwsllmaxb false
false jgdsswmrcmiewditipagovsz 02428731765383 837362237473736251 qlgfsdps 03388117550209693 20510 7541/17/17 ifatydmbhshpxdusoi true
true rabt 27796 04166 nfpvuoyohozgemzenvmfislaix 123818 229760932568 6730/17/44 kzkfjdvhdcbxauge false
true tlbpviymxyomlnzqxeoeiq 788378505219795327 241510 jiaznhsrvrzcfdwwymxpptg 9705027303 7663578 9898/29/65 ryhye false
false ycenandofovtpdkapygaymbqkiqo 1 835184804657201676 oospgdzxtzcfzhwmrdepplkuj 994730 2789014 1572/58/62 vqegaarjncipruhbyhoafvceie true
false qjqgnyiprsdtasmwbquievnb 207562166994 77004 stktlfdpcttdnfkylnabfjhab 35089498387 7732849 8151/34/34 jolubnoffbtubqntpybrbrfash true
false nizbtvfhmmophlrxykmyn 528145055618148852 011162726985706 jttgfnnrkpzpzvdzfbkjxxyggatri 435776445465 3632922159755331 9673/14/29 xtmdicisxqk true
false qx 2 579438974 ywdrlibnsumig 4315 550274 6543/08/14 ftfgizcwhkfzdfoiyxylslhyxwkpju false
false txasbxbmcarjocinc 294608 1 mnyeivfayebkibesricfkxna 9839089126653265 611015076 7895/30/56 tfoxnulrhb true
false hc 0300369176572389 00099521834 rddofijdbbkkstwf 786005 59052507680883770432 9305/38/13 mslnnsewcnksneqveqf false
true tluqwirridl 787921 3 ancxrue 2631815854 4 5736/64/88 vqxluucrampprabkjwxjyqwwbk false
false ohuggfbaksawjrnjtzsr 1395768607691199 9 qwtzpikkjebihrzieuucyd 050142172967641999 20716011224 1293/35/56 jbukoqtnwilmgddlbrmddqv true
false gvmncvoyiepbrnmfbskgfnx 4605 600701 xrqfwhjpuxwxrgdxtdqkhazn 7189219316567184758 1738951 4322/23/02 mnhdhccnnwnxohnnywpisaspbwze true
true xmtawxcjlzy 181483309760476 819504167012376479 ozleogptfyxisaxjsjaiq 555 3123106610189022 8497/53/07 acrntajzrgsvezeqmewegygadfddp true
true ngfihohawcva 62928919 58 vxvgkmtrrbahladnxdq 054045970057 43060504173990 4666/61/07 zkgncpvsvkunvnzhgvebuqvysnbz true
false oamcfdzxyltnggnpoktrelmed 38992 826537634175766 omiuzuyfwgjmduubscew 2155802693 3506015 8518/81/20 kytxhtfkjprgqoqhwxyyctwp false
true drbbeaubhngtzykfqz 6544 875728516440 vfhko 1238062838 492 0660/37/88 impqubgvnsgdw true
true cydjfzjxrpnjubdenuuhvaek 5076902975898 44790664109981724 wjycdlhcgubne 757736346 5643907130585 9271/68/94 wjidlgxq false
true cufyn 53250388 48386 tqghweztzt 1506270630 10679257189 2348/63/56 mfcwtgmhzpranmzkmknpqjz false
true soeywqfbpahdiiuzkinj 95279 8940628025 nsswxae 0685725464454 1613748229024790 9197/68/23 mbrqasreghtejl false
false colnhqaqwfccajqc 2052435654116993292 900668165 ytnttv 671294184423602 3123208 7704/81/35 fewwjpevtoapuettlmnzc true
false teypmbpthnrsdvnylpohujbfxohajb 96904615088633206785 16574278 qdtixrci 62456798366169718 55444 3044/10/68 qciywpkhvkstoasoaxoy false
false akbdolpxbsfcowoxsbqlpsed 53897155036 052218811478011694 wsuqvpl 9616760179012482 9320987 9457/18/20 pwybghzdpchtgplwulcynhxleq false
true cklakphtomjsueylquibz 541 50960748689 tj 615999141655396466 4720700830116267 3709/89/63 gegcqpfxkxkqq false
false hdybr 7126115763969 00706300046910152865 tkpmkolrubpcqxkpz 122333407484283 610446395969066 4087/53/36 ni true
true oxrkmnywmaldc 121741 0796882 ivefmotzosnofqtsbztzexrcep 8943111191840 78813675609915927 7412/53/66 fhntngaxqzcdyap true
true kalbrfnnksthczqpudwubow 543640 0854361233009347731 i 654280800986532887 872319272251 0153/17/14 kusdiwxme false
false drxgpa 636842 89 wtvqnzakymqnipqboyroxfco 48 2906955401836228 2220/49/52 jqpbi false
false sueutn 9955475617868 040822 surlq 38777854249069949 645489047177725 4023/76/71 mdfppqnjs false
true fjhohwocxxnfmsykpvwdb 066480251230624005 360142761 x 35875991236 008 0040/62/27 ripwlmgizjnpaumgkymykmyuijwfrg false
false niz 3182070972356930 412044 wqbjzckqmkqkcqffymlurycvivj 73154021341755 37503335327623572998 5106/47/91 gddpulwzdxwvc false
true utcpssuzkkupblthqwwkiumnri 19179050854 58651568870 zssoldagejhbomnklvgvn 48028 9 0068/96/90 v false
false lutaefvnaklwspkenqosyqrvhvrefx 4772649321 43603 mlzldsgkpx 894 816675918451276 1495/34/13 zmhxljo false
false ahwkmwybqgmgtik 1 4655588 bik 174314 3197504427701678 1565/25/87 jzpgpsfgmkkoiyarbculqsoxlag false
false wfhnnyhsfterjmpjgsocegxudiul 6703056 8 fki 19135613694266942 12119910 2320/93/13 srlafmcnv true
false zo 23512 3415739887719909716 irayrehgvxjpw 85575372663 5104541 7253/15/16 ikxgbaybkzfqv true
true ebktloltlgkozydhlaqocqporxh 42045 72723097687744 efwwwknvrzfbnxmmjkbfdbiisn 792537110 61739220571905 1291/24/91 uegfjjpzzxiqksvutmodgpue false
true zhuybahikqalsxtihnddhrr 604 597443637141608 vpiedmhkfbyfjekshlcsijf 039839049188540874 042937177 0743/05/34 yispncuzyeqquqqwlx true
true ircpakmqwbqhtf 33115356738972222 27040619805788292747 djws 8 2066860 8239/23/61 bdotsoyosjmkvyfjipbitg false
true qvluqoxtdqntpdlypywndhyujgnr 807133 814755663694434508 bgsszolkfosmixmfsdyfweshkd 33905141188559711091 4765120951 2804/31/85 ofozyjwachjrv false
true jzciqfccpuopcrdswtrvdpxhwiarc 87605227853829 230541610170768265 rugdpnggjzzxxmjosqlluoeiuoymd 3637928782 1 3514/85/87 svmapcycfxtbq false
false diqbohwumcohyvrqqfqihqmppfqhx 50331947367555485373 4391 qqvnjeqmdtdnttjuwmwvilmlv 2265921036156418 4576504200489 9235/72/91 jviaac true
false rrauugqvuchwjhu 68961690 98716 cptwmzpjwtsudzpqcbrooqjw 63799389227 7003402 6366/43/26 pvevenllqfkpvxpdtngifmynkqvz false
